Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Europe,,2000,128.5009,6.9151373,0.22034094,66.27327,2220.5225,3346.293,9259.316,5587.1353,10489.71,128.5009,6.9151373,0.22034094,66.27327,2220.5225,3346.293,9259.316,5587.1353,10489.71
Europe,,2001,140.91362,8.334128,0.5707726,78.92258,2238.266,3435.6519,9413.887,5552.031,10654.891,140.91362,8.334128,0.5707726,78.92258,2238.266,3435.6519,9413.887,5552.031,10654.891
Europe,,2002,160.36494,10.693961,0.91882867,106.34845,2021.198,3464.3186,9468.498,5550.7954,10557.872,160.36494,10.693961,0.91882867,106.34845,2021.198,3464.3186,9468.498,5550.7954,10557.872
Europe,,2003,183.41702,13.721295,1.3596238,130.07536,1887.2101,3492.3315,9779.315,5721.2534,10644.244,183.41702,13.721295,1.3596238,130.07536,1887.2101,3492.3315,9779.315,5721.2534,10644.244
Europe,,2004,218.53265,19.695684,2.1640797,172.17694,2018.7758,3503.87,10045.516,5584.339,10707.095,218.53265,19.695684,2.1640797,172.17694,2018.7758,3503.87,10045.516,5584.339,10707.095
Europe,,2005,250.36147,32.516003,4.3309965,204.94466,2018.1921,3460.4197,10212.317,5411.2554,10771.452,250.36147,32.516003,4.3309965,204.94466,2018.1921,3460.4197,10212.317,5411.2554,10771.452
Europe,,2006,283.13046,53.2783,7.311704,238.04205,1966.5846,3451.9607,10348,5605.0044,10844.466,283.13046,53.2783,7.311704,238.04205,1966.5846,3451.9607,10348,5605.0044,10844.466
Europe,,2007,314.57544,80.93749,10.966067,300.1947,1992.8177,3298.3984,10318.487,5597.71,10649.453,314.57544,80.93749,10.966067,300.1947,1992.8177,3298.3984,10318.487,5597.71,10649.453
Europe,,2008,347.24606,112.05031,21.326986,340.94113,2036.7919,3284.1694,10338.29,5399.295,10587.894,347.24606,112.05031,21.326986,340.94113,2036.7919,3284.1694,10338.29,5399.295,10587.894
Europe,,2009,379.58292,135.81258,40.00332,376.09537,2033.159,3130.123,9589.23,4798.298,10048.622,379.58292,135.81258,40.00332,376.09537,2033.159,3130.123,9589.23,4798.298,10048.622
Europe,,2010,430.78506,153.18367,65.210594,417.77237,2124.6938,3202.0383,10322.464,4955.159,10055.944,430.78506,153.18367,65.210594,417.77237,2124.6938,3202.0383,10322.464,4955.159,10055.944
Europe,,2011,459.66028,161.87914,130.1203,502.7295,1877.0287,3168.3115,9939.806,5149.184,9940.693,459.66028,161.87914,130.1203,502.7295,1877.0287,3168.3115,9939.806,5149.184,9940.693
Europe,,2012,509.81192,176.44357,197.898,573.5849,2004.9995,3093.348,9709.811,5274.9707,9720.43,509.81192,176.44357,197.898,573.5849,2004.9995,3093.348,9709.811,5274.9707,9720.43
Europe,,2013,539.53357,154.50833,235.86777,655.6612,2135.5388,3030.4307,9550.341,5101.382,9531.72,539.53357,154.50833,235.86777,655.6612,2135.5388,3030.4307,9550.341,5101.382,9531.72
Europe,,2014,573.10236,165.39445,266.52698,694.61096,2104.5984,3049.9004,8949.31,4740.998,9471.982,573.10236,165.39445,266.52698,694.61096,2104.5984,3049.9004,8949.31,4740.998,9471.982
Europe,,2015,609.6801,164.72198,294.28677,828.0812,1988.2632,3006.6401,8899.4,4632.6953,9531.291,609.6801,164.72198,294.28677,828.0812,1988.2632,3006.6401,8899.4,4632.6953,9531.291
Europe,,2016,617.55054,167.53455,301.9344,823.2466,2064.1802,2924.755,9311.125,4418.06,9689.947,617.55054,167.53455,301.9344,823.2466,2064.1802,2924.755,9311.125,4418.06,9689.947
Europe,,2017,633.5165,179.99652,322.95267,975.38025,1900.2172,2908.8245,9570.245,4218.978,9858.75,633.5165,179.99652,322.95267,975.38025,1900.2172,2908.8245,9570.245,4218.978,9858.75
Europe,,2018,651.819,200.45667,343.65994,1015.0296,2057.039,2895.2793,9749.306,4152.721,9833.19,651.819,200.45667,343.65994,1015.0296,2057.039,2895.2793,9749.306,4152.721,9833.19
Europe,,2019,672.88293,207.42093,376.6877,1155.1943,1935.3457,2880.352,9755.615,3592.2205,9836.58,672.88293,207.42093,376.6877,1155.1943,1935.3457,2880.352,9755.615,3592.2205,9836.58
Europe,,2020,690.7965,216.1758,438.71057,1286.3564,2089.7097,2644.2595,9368.004,3109.9895,8688.6045,690.7965,216.1758,438.71057,1286.3564,2089.7097,2644.2595,9368.004,3109.9895,8688.6045
Europe,,2021,723.4228,223.81679,489.12265,1235.5271,2128.315,2788.444,9654.594,3377.876,9127.463,723.4228,223.81679,489.12265,1235.5271,2128.315,2788.444,9654.594,3377.876,9127.463
Europe,,2022,697.9441,237.34027,612.9758,1367.4585,1812.8202,2428.1062,9132.783,3372.654,9403.708,697.9441,237.34027,612.9758,1367.4585,1812.8202,2428.1062,9132.783,3372.654,9403.708
Europe,,2023,640.73267,245.25687,719.9326,1519.574,2015.814,2405.5938,8850.816,2950.043,9318.859,640.73267,245.25687,719.9326,1519.574,2015.814,2405.5938,8850.816,2950.043,9318.859